title,release_date,popularity,vote_average
Harry Potter and the Deathly Hallows: Part 1,2010-10-06,127.226,7.8
The Northman,2022-04-07,133.758,7.1
The Battle at Lake Changjin: Water Gate Bridge,2022-02-01,133.719,6.9
The Passion of the Christ,2004-02-25,140.054,7.4
Faraway,2023-03-08,126.931,6.8
The Seven Deadly Sins: Cursed by Light,2021-07-02,134.588,7.8
Cruella,2021-05-26,126.025,8.1
The Ice Age Adventures of Buck Wild,2022-01-28,120.512,6.7
X,2022-03-17,125.703,6.8
Sex and Zen II,1996-05-09,115.765,5.9
After,2019-04-11,114.061,7.2
The Independent,2022-11-02,127.208,7.3
There's Something Wrong with the Children,2023-01-17,117.863,6.1
The Tiger's Nest,2022-10-13,119.767,7.1
The Green Mile,1999-12-10,110.886,8.5
We Have a Ghost,2023-02-24,117.5,6.6
Real Steel,2011-09-28,113.481,7
The School for Good and Evil,2022-10-19,126.429,7.2
Doraemon: Nobita's Little Star Wars 2021,2022-03-04,119.287,5.7
Dragon Knight,2022-03-21,128.443,6.8
The Conjuring: The Devil Made Me Do It,2021-05-25,121.462,7.5
The Maze Runner,2014-09-10,121.824,7.2
The Little Mermaid,1989-11-17,121.608,7.3
Nobody,2021-03-18,133.775,8.1
365 Days: This Day,2022-04-27,122.951,5.9
Lost Bullet 2,2022-11-10,121.982,6.5
Iron Man 2,2010-04-28,109.184,6.8
Ice Age,2002-03-10,121.344,7.3
Mortal Kombat,2021-04-07,128.549,7.1
The Hobbit: The Battle of the Five Armies,2014-12-10,116.802,7.3
Blue's Big City Adventure,2022-11-18,123.015,7.4
Lesson Plan,2022-11-23,118.253,6.4
Corrective Measures,2022-04-29,122.297,5.1
Avengers: Age of Ultron,2015-04-22,113.748,7.3
The Soccer Football Movie,2022-11-09,125.848,6.1
Teasing Master Takagi-san: The Movie,2022-06-10,110.125,8.6
After We Collided,2020-09-02,111.198,7.2
The Trapped 13: How We Survived The Thai Cave,2022-10-05,117.516,6.9
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,114.69,6.9
Pirates of the Caribbean: On Stranger Tides,2011-05-14,123.196,6.5
Blueback,2022-12-29,127.275,6.2
Deadpool,2016-02-09,107.398,7.6
King Shakir Recycle,2022-07-14,117.224,5.6
Infinite,2021-09-09,110.474,6.6
The Matrix Resurrections,2021-12-16,114.388,6.5
The Tomorrow War,2021-07-02,115.969,7.9
Solar Impact,2019-11-15,76.959,2.7
The Lion King,1994-06-23,118.014,8.3
Shrek Forever After,2010-05-16,107.292,6.3
The Shack,2017-03-03,89.643,7.5
Laid-Back Camp The Movie,2022-07-01,120.275,7.7
Coraline,2009-02-05,114.909,7.8
Drifting Home,2022-09-09,122.788,7.6
Sword Art Online the Movie -Progressive- Aria of a Starless Night,2021-10-30,117.968,8
The Princess and the Frog,2009-12-08,101.658,7.2
Resident Evil: Welcome to Raccoon City,2021-11-24,121.13,6.1
Lightyear,2022-06-15,116.856,7.1
Dead for a Dollar,2022-09-30,94.372,5.8
Me Before You,2016-06-01,104.647,7.9
Puss in Boots,2011-10-27,104.291,6.5
One Piece Film Red,2022-08-06,147.696,7.5
After We Fell,2021-09-01,111.758,7.1
Jumanji: The Next Level,2019-12-04,87.749,6.9
Big Hero 6,2014-10-24,98.838,7.7
Clifford the Big Red Dog,2021-11-10,109.283,7.3
Ritual,2022-09-07,114.689,7.1
Scorpio Nights 3,2022-07-28,157.221,7.1
PAW Patrol: The Movie,2021-08-09,105.333,7.5
The Boss Baby: Family Business,2021-07-01,115.719,7.5
Dragon Ball Z: Resurrection 'F',2015-04-18,113.447,6.8
The Suicide Squad,2021-07-28,114.03,7.6
The Twilight Saga: Eclipse,2010-06-23,108.59,6.2
Cars 2,2011-06-11,117.784,6.1
Missing,2023-01-19,96.203,7.7
Sonic the Hedgehog,2020-02-12,100.092,7.4
The Strays,2023-02-17,110.041,5.6
Luca,2021-06-17,104.043,7.9
Summer Ghost,2021-11-12,102.167,7.2
Ant-Man,2015-07-14,108.573,7.1
Charlie and the Chocolate Factory,2005-07-13,110.867,7
Infelices para Siempre,2023-01-26,107.412,6.5
The Unbearable Weight of Massive Talent,2022-04-20,95.079,6.8
